fold,max_depth,nrounds,alpha,gamma,train_f2_score,val_f2_score,f2_score_diff,train_auc,val_auc,auc_diff,train_gain,val_gain,gain_diff,val_tp,val_fp,val_tn,val_fn
1,4,50,5,5,0.187422552664188,0.187422552664188,0.0519085339725996,0.744565956547766,0.672688020479819,0.0718779360679475,9535000,497500,9037500,29,733,22725,48
1,4,50,5,10,0.170567859766978,0.170567859766978,0.025078044054078,0.717627155079077,0.680034114576701,0.0375930405023759,7831250,596250,7235000,30,693,22765,47
1,4,50,5,15,0.168539325842697,0.168539325842697,0.0303359694754706,0.7089258581721,0.667388136631039,0.0415377215410607,7520000,518750,7001250,28,677,22781,49
1,4,50,10,0,0.202464788732394,0.202464788732394,0.0700144576065666,0.76475588850452,0.666450290267325,0.0983055982371949,10970000,463750,10506250,28,721,22737,49
1,4,50,10,5,0.174497343473278,0.174497343473278,0.0364021053780404,0.72464364363412,0.673114314281507,0.0515293293526136,8241250,522500,7718750,29,713,22745,48
1,4,50,10,10,0.166457941974536,0.166457941974536,0.0264965520131456,0.71318469389266,0.673412719942688,0.0397719739499718,7462500,540000,6922500,29,699,22759,48
1,4,50,10,15,0.161911703456893,0.161911703456893,0.0231557225956489,0.707382985563392,0.673220887731929,0.0341620978314636,7035000,528750,6506250,29,708,22750,48
1,4,50,15,0,0.195484005854066,0.195484005854066,0.0696369584194101,0.752751124713189,0.653932200462169,0.0988189242510196,10232500,393750,9838750,26,699,22759,51
1,4,50,15,5,0.169312169312169,0.169312169312169,0.0386248508223339,0.714216011516312,0.66044702164576,0.053768989870552,7677500,443750,7233750,27,698,22760,50
1,4,50,15,10,0.16932059447983,0.16932059447983,0.0277190319798301,0.713568360131452,0.673668496223701,0.0398998639077509,7665000,555000,7110000,29,687,22771,48
1,4,50,15,15,0.152575315840622,0.152575315840622,0.0129356762009823,0.707914426888835,0.684865075243624,0.0230493516452107,6327500,547500,5780000,31,771,22687,46
1,6,50,0,0,0.329070492825951,0.329070492825951,0.201350530668903,0.938771450867086,0.659935469083734,0.278835981783352,23117500,413750,22703750,27,722,22736,50
1,6,50,0,5,0.298645320197044,0.298645320197044,0.163388331919317,0.901819308687156,0.678371568750118,0.223447739937038,20410000,498750,19911250,30,771,22687,47
1,6,50,0,10,0.221707818930041,0.221707818930041,0.100664988390004,0.793352344190676,0.653058298168708,0.140294046021968,12890000,342500,12547500,26,740,22718,51
1,6,50,0,15,0.180364037506895,0.180364037506895,0.0437243613935343,0.720158715729348,0.661406182699558,0.05875253302979,8508750,5e+05,8008750,27,653,22805,50
1,6,50,5,0,0.327233584499462,0.327233584499462,0.19435956875143,0.921580739376646,0.660809371377195,0.260771367999452,22277500,465000,21812500,27,681,22777,50
1,6,50,5,5,0.21872682978498,0.21872682978498,0.0991096049045976,0.781076490322929,0.647161602997565,0.133914887325364,12338750,328750,12010000,25,712,22746,52
1,6,50,5,10,0.174956933677864,0.174956933677864,0.0366170127292473,0.718193181196801,0.667409451321123,0.050783729875678,8130000,520000,7610000,28,676,22782,49
1,6,50,5,15,0.169565693031397,0.169565693031397,0.0347005581662622,0.707760812458761,0.661129091728461,0.0466317207303,7563750,483750,7080000,27,666,22792,50
1,6,50,10,0,0.277117545375972,0.277117545375972,0.144894234896051,0.853384696528338,0.660702797926773,0.192681898601566,17570000,458750,17111250,27,686,22772,50
1,6,50,10,5,0.185364281108962,0.185364281108962,0.0470055024830077,0.732524565381503,0.673156943661676,0.0593676217198275,9107500,525000,8582500,29,711,22747,48
1,6,50,10,10,0.175316319965687,0.175316319965687,0.0323182923522751,0.719540586789072,0.673881643124545,0.0456589436645268,8182500,567500,7615000,29,677,22781,48
1,6,50,10,15,0.166913946587537,0.166913946587537,0.0337778519129809,0.710655664416238,0.660852000757364,0.0498036636588746,7445000,467500,6977500,27,679,22779,50
1,6,50,15,0,0.239069567090243,0.239069567090243,0.1077466098918,0.803723299729433,0.660553595096182,0.143169704633251,14082500,450000,13632500,27,693,22765,50
1,6,50,15,5,0.176852352623039,0.176852352623039,0.0284844001007843,0.719732419908468,0.680460408378389,0.0392720115300788,8283750,621250,7662500,30,673,22785,47
1,6,50,15,10,0.171825090869038,0.171825090869038,0.0366899557339033,0.709345049062632,0.66117172110863,0.0481733279540021,7741250,486250,7255000,27,664,22794,50
1,6,50,15,15,0.166859669438888,0.166859669438888,0.0258090857813008,0.711943862255609,0.673583237463364,0.0383606247922457,7466250,550000,6916250,29,691,22767,48
1,2,60,0,0,0.182085615743559,0.182085615743559,0.0484450627481668,0.741279067834224,0.672368300128552,0.0689107677056717,9117500,478750,8638750,29,748,22710,48
1,2,60,0,5,0.181383296790911,0.181383296790911,0.0487208997186328,0.744455748695506,0.672197782607877,0.0722579660876282,9147500,468750,8678750,29,756,22702,48
1,2,60,0,10,0.164443998796751,0.164443998796751,0.026955456175303,0.71872699083236,0.678755233171637,0.0399717576607228,7423750,521250,6902500,30,753,22705,47
1,2,60,0,15,0.160699755899105,0.160699755899105,0.0183673408394172,0.710436514298642,0.685312683735397,0.0251238305632452,7e+06,573750,6426250,31,750,22708,46
1,2,60,5,0,0.178751767319733,0.178751767319733,0.037508829466626,0.737581358747423,0.679373359184085,0.058207999563338,8812500,557500,8255000,30,724,22734,47
1,2,60,5,5,0.163103482886681,0.163103482886681,0.0156380450986623,0.716594571868501,0.691912763679325,0.024681808189176,7286250,628750,6657500,32,745,22713,45
1,2,60,5,10,0.160658700672758,0.160658700672758,0.021512132954762,0.713010541667268,0.679032324142734,0.0339782175245337,7041250,537500,6503750,30,740,22718,47
1,2,60,5,15,0.149938511020717,0.149938511020717,0.0193902081486544,0.709405033811258,0.677518981146741,0.0318860526645162,6126250,448750,5677500,30,811,22647,47
